Date,Open,High,Low,Close,Change %,Avg. Volume
"Apr. 05, 2021","1,985.15","1,992.46","1,925.03","1,968.58",0.54%,"9,887,747"
"Mar. 29, 2021","1,983.09","2,022.53","1,923.31","1,957.97",-1.60%,"12,368,677"
"Mar. 22, 2021","2,004.93","2,008.64","1,889.31","1,989.75",-0.06%,"12,906,768"
"Mar. 15, 2021","1,997.27","2,049.61","1,949.19","1,990.86",-0.14%,"13,455,175"
"Mar. 08, 2021","1,896.11","2,014.53","1,890.67","1,993.58",6.00%,"13,040,383"
"Mar. 01, 2021","1,877.68","1,958.14","1,786.62","1,880.70",0.79%,"12,752,470"
"Feb. 22, 2021","1,885.02","1,975.35","1,834.36","1,865.97",-1.03%,"16,233,812"
"Feb. 16, 2021","1,877.67","1,910.89","1,809.73","1,885.36",1.11%,"15,228,169"
"Feb. 08, 2021","1,875.33","1,888.82","1,779.20","1,864.70",0.30%,"11,060,959"
"Feb. 01, 2021","1,738.08","1,883.27","1,738.08","1,859.19",7.90%,"9,631,244"
"Jan. 25, 2021","1,814.32","1,833.48","1,640.37","1,723.05",-5.65%,"12,714,547"
"Jan. 19, 2021","1,883.17","1,886.73","1,795.35","1,826.29",-3.77%,"10,403,816"
"Jan. 11, 2021","1,831.96","1,944.74","1,824.66","1,897.80",2.08%,"11,926,567"
"Jan. 04, 2021","1,691.23","1,863.56","1,659.17","1,859.07",10.73%,"15,080,591"
